Event,Header,PacketLength,TriggerType,StatusFlags,FlagPileup,FlagPolarity,FlagOffset,FlagCfdValid,HeaderType,TriggerID,ModuleID,ChannelID,SyncDelay,SynceCount,PeakSum,PeakTime,Prerise,IntegratedSum,Baseline,CFDPoint0,CFDPoint1,CFDPoint2,CFDPoint3,IntTimestamp0,IntTimestamp1,IntTimestamp2,IntTimestamp3,WaveformWords,Info.max,Info.min,Info.fracTimestamp,Info.intEnergy,Info.intEnergyB,Info.mean,Info.stdDev,
0,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,0,1073732420,0,15331,-28,30682,3068,6143,-30,-10,-5,9,0,25304,17741,385,2000,2218,1523,1584.699454,-0.200000,-3.500000,1574.775500,115.120455,
1,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,1,1073732420,0,15183,-40,30413,3039,6082,12,6,0,0,0,25304,17741,385,2000,1999,1509,3809.523810,-2.300000,-2.000000,1549.128000,80.788648,
2,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,2,1073732420,0,15414,-16,30859,3081,6177,-160,-167,-163,-159,0,25304,17741,385,2000,2026,1533,1541904.761905,-4.900000,-7.500000,1575.811500,79.900019,
3,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,3,1073732420,0,15306,-8,30724,3063,6151,-34,-58,-58,-45,0,25304,17741,385,2000,1589,1482,-101818.181818,-9.400000,-12.500000,1537.793000,13.952890,
4,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,8,1073732420,0,15391,4,30944,3086,6143,-129,-44,4,3,0,25304,17741,385,2000,2635,1522,2897.897898,-8.400000,14.500000,1595.237000,180.464326,
5,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,9,1073732420,0,15357,-33,30732,3069,6158,-91,-67,-36,-13,0,25304,17741,385,2000,2189,1521,9685.534591,-4.200000,-10.000000,1567.440000,103.890083,
6,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,10,1073732420,0,15425,-4,30864,3087,6175,-74,-47,-25,-13,0,25304,17741,385,2000,2033,1531,9593.495935,0.600000,-0.500000,1575.685500,90.659073,
7,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,11,1073732420,0,15288,-12,30603,3058,6131,-203,-132,-76,-25,0,25304,17741,385,2000,2655,1519,8983.050847,-2.300000,-7.500000,1601.803000,203.956868,
8,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073732420,0,15356,12,30807,3083,6143,9,10,11,15,0,23240,43496,385,2000,2864,1523,-42807.017544,2.300000,11.500000,1605.174500,222.300322,
9,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073732420,0,15298,8,30747,3067,6082,-23,-17,-15,-9,0,23240,43496,385,2000,2487,1509,20909.090909,-7.700000,26.000000,1576.435500,171.480418,
10,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,2,1073732420,0,15423,-7,30858,3082,6177,-31,-27,-23,-19,0,23240,43496,385,2000,2639,1532,38333.333333,-3.800000,-6.500000,1607.232500,180.105787,
11,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,3,1073732420,0,15297,-13,30860,3097,6151,39,83,90,56,0,23240,43496,385,2000,1597,1477,-80344.827586,11.000000,21.500000,1536.809500,15.027948,
12,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,8,1073732420,0,15322,-16,30706,3063,6143,-584,-379,-216,-74,0,23240,43496,385,2000,4134,1519,9001.772002,-7.600000,-8.500000,1692.482500,471.448671,
13,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,9,1073732420,0,15355,-23,30740,3069,6157,-461,-271,-133,-44,0,23240,43496,385,2000,4175,1518,7573.794096,-5.000000,-9.500000,1701.795500,475.037512,
14,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,10,1073732420,0,15424,-2,30889,3090,6175,-646,-492,-375,-284,0,23240,43496,385,2000,3714,1528,21562.759767,1.100000,2.500000,1693.562000,413.431223,
15,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,11,1073732420,0,15400,-14,30901,3102,6131,-624,-339,-126,-12,0,23240,43496,385,2000,5054,1509,5622.254758,11.900000,36.500000,1747.880000,654.002671,
16,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073732420,0,15323,11,30675,3060,6146,-305,-180,-84,-29,0,16342,62737,387,2000,5210,1515,7453.102453,-7.500000,-13.000000,1744.948500,626.598984,
17,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073732420,0,15192,0,30423,3038,6094,-322,-210,-118,-64,0,16342,62737,387,2000,4660,1503,10408.006159,-4.300000,-9.000000,1688.845500,545.531164,
18,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,2,1073732420,0,15418,-37,30885,3087,6182,-312,-217,-129,-64,0,16342,62737,387,2000,5823,1522,11129.807692,-1.500000,-4.000000,1798.370000,784.951179,
19,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,3,1073732420,0,15246,-26,30812,3076,6150,50,49,58,63,0,16342,62737,387,2000,1593,1480,-79722.222222,-5.200000,1.000000,1538.038500,14.020236,
20,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,8,1073732420,0,15332,-11,30676,3068,6152,-344,-237,-148,-86,0,16342,62737,387,2000,2898,1522,12406.334492,0.400000,-8.000000,1608.471500,226.394347,
21,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,9,1073732420,0,15356,-15,30752,3077,6161,-117,-66,-27,5,0,16342,62737,387,2000,3038,1522,5102.880658,1.800000,-3.500000,1638.522000,279.019289,
22,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,10,1073732420,0,15471,7,31092,3107,6173,-49,-10,5,8,0,16342,62737,387,2000,2966,1527,788.530466,-2.200000,20.500000,1639.726000,267.170818,
23,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,11,1073732420,0,15291,-34,30610,3061,6135,-252,-165,-104,-42,0,16342,62737,387,2000,3715,1516,10246.020260,0.000000,-6.500000,1646.013500,342.522406,
24,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073732420,0,15333,-15,30691,3067,6146,-92,-57,-29,-3,0,40520,3764,388,2000,2566,1524,6892.655367,-2.100000,-6.000000,1587.338000,172.627025,
25,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073732420,0,15192,-10,30436,3039,6094,-114,-60,-16,-6,0,40520,3764,388,2000,2260,1509,5543.478261,-4.600000,-8.000000,1559.842500,124.871589,
26,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,2,1073732420,0,15408,-4,30874,3079,6182,-146,-86,-52,-28,0,40520,3764,388,2000,2430,1529,10068.728522,-8.400000,-12.000000,1602.467500,159.796289,
27,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,3,1073732420,0,15269,-58,30881,3141,6150,-118,-109,-115,-129,0,40520,3764,388,2000,1585,1473,-204615.384615,52.900000,66.000000,1539.447000,14.025198,
28,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,8,1073732420,0,15330,-29,30678,3065,6151,-5296,-3436,-1868,-692,0,40520,3764,388,2000,16330,1492,8903.337668,-2.800000,-10.500000,2381.839500,2663.742530,
29,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,9,1073732420,0,15337,-30,30726,3069,6162,-1071,-640,-304,-66,0,40520,3764,388,2000,5631,1513,7016.810902,-3.600000,-12.000000,1807.158500,785.657865,
30,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,10,1073732420,0,15591,11,31461,3141,6173,-1070,-649,-289,-30,0,40520,3764,388,2000,5872,1518,6427.203065,-5.100000,54.500000,1850.132500,843.718429,
31,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,11,1073732420,0,15278,4,30613,3056,6135,-4260,-2767,-1622,-805,0,40520,3764,388,2000,16383,1486,10356.211990,-5.300000,-11.500000,2544.227000,2910.389178,
32,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073732420,0,15318,3,30703,3067,6139,3,-1,-5,-5,0,23895,26753,389,2000,2506,1522,-8095.238095,-3.300000,-2.500000,1584.282000,158.914954,
33,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073732420,0,15190,1,30428,3038,6082,-39,-17,-7,-13,0,23895,26753,389,2000,2255,1509,11060.606061,-4.800000,-3.000000,1555.691000,121.231104,
34,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,2,1073732420,0,15426,-22,30923,3096,6181,-13,-12,-8,-8,0,23895,26753,389,2000,2174,1533,32631.578947,3.700000,5.500000,1587.856500,109.389387,
35,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,3,1073732420,0,15317,-58,30811,3075,6147,61,85,85,78,0,23895,26753,389,2000,1595,1469,-104313.725490,-6.100000,1.500000,1536.666000,13.843390,
36,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,8,1073732420,0,15289,-34,30634,3066,6147,-800,-493,-261,-103,0,23895,26753,389,2000,3911,1519,8555.029416,2.600000,-7.500000,1675.166000,438.180352,
37,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,9,1073732420,0,15655,12,31426,3181,6149,78,242,213,196,0,23895,26753,389,2000,3063,1520,-40717.948718,38.400000,106.500000,1642.941000,273.078708,
38,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,10,1073732420,0,15403,-16,30866,3083,6173,-190,-122,-66,-32,0,23895,26753,389,2000,2712,1527,9559.748428,-3.600000,-3.500000,1628.641000,245.119237,
39,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,11,1073732420,0,15354,1,30896,3071,6127,-954,-613,-342,-159,0,23895,26753,389,2000,4304,1511,9643.574297,-18.600000,7.500000,1715.084500,527.403973,
40,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073732420,0,15366,-22,30801,3080,6139,-36,12,25,29,0,32501,14579,390,2000,3338,1521,-5737.179487,-0.100000,10.500000,1632.580500,287.113310,
41,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073732420,0,15169,-26,30415,3041,6082,-77,-35,0,10,0,32501,14579,390,2000,3465,1508,2409.909910,-0.500000,0.000000,1621.935500,321.524280,
42,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,2,1073732420,0,15531,1,31157,3129,6181,-46,-5,1,9,0,32501,14579,390,2000,3377,1528,662.768031,13.300000,38.500000,1652.382500,340.989326,
43,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,3,1073732420,0,15324,-39,30790,3050,6147,31,25,59,64,0,32501,14579,390,2000,1593,1477,-25764.411028,-29.000000,-23.500000,1538.924000,15.524955,
44,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,8,1073732420,0,15341,-1,30786,3077,6147,-286,-185,-107,-33,0,32501,14579,390,2000,3113,1521,8833.134209,-1.600000,3.500000,1610.815500,250.439964,
45,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,9,1073732420,0,15393,12,30898,3084,6149,-525,-280,-105,5,0,32501,14579,390,2000,5118,1514,5212.464589,-5.800000,9.500000,1774.571000,687.702533,
46,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,10,1073732420,0,15410,-9,30840,3089,6173,-568,-340,-152,-41,0,32501,14579,390,2000,5124,1523,7039.758809,5.000000,2.500000,1772.994500,650.781342,
47,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,11,1073732420,0,15419,-21,30890,3097,6127,20,34,44,58,0,32501,14579,390,2000,3216,1513,-24301.075269,8.000000,33.500000,1641.959500,302.934455,
48,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073732420,0,15310,8,30647,3062,6138,-70,-39,-20,-6,0,40208,58807,390,2000,2308,1522,7330.173776,-2.700000,-7.000000,1586.220500,146.759037,
49,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073732420,0,15216,12,30518,3043,6093,-166,-107,-70,-33,0,40208,58807,390,2000,2610,1506,11039.755352,-8.800000,-3.500000,1594.502000,200.679982,
