Event,Header,PacketLength,TriggerType,StatusFlags,FlagPileup,FlagPolarity,FlagOffset,FlagCfdValid,HeaderType,TriggerID,ModuleID,ChannelID,SyncDelay,SynceCount,PeakSum,PeakTime,Prerise,IntegratedSum,Baseline,CFDPoint0,CFDPoint1,CFDPoint2,CFDPoint3,IntTimestamp0,IntTimestamp1,IntTimestamp2,IntTimestamp3,WaveformWords,Info.max,Info.min,Info.fracTimestamp,Info.intEnergy,Info.intEnergyB,Info.mean,Info.stdDev,
0,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073732420,0,15375,-16,30855,3080,6144,-309,-208,-122,-54,0,23327,37846,2988,2000,3572,1521,10238.934587,-5.500000,8.000000,1628.066500,307.841705,
1,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073732420,0,15224,10,30632,3060,6085,-66,-2,12,8,0,23327,37846,2988,2000,4178,1506,56.497175,-3.200000,17.500000,1625.764000,386.782510,
2,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,2,1073732420,0,15398,-9,30846,3080,6185,-495,-356,-241,-136,0,23327,37846,2988,2000,3111,1529,13836.689038,-4.600000,-12.500000,1637.053000,288.352363,
3,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,3,1073732420,0,15244,-37,30895,3078,6147,184,165,151,158,0,23327,37846,2988,2000,1584,1487,115869.565217,-11.500000,4.500000,1538.768000,13.904358,
4,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,8,1073732420,0,15325,-24,30696,3065,6150,-607,-453,-317,-202,0,23327,37846,2988,2000,4319,1519,16146.064643,-4.600000,-10.000000,1648.357500,400.389709,
5,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,9,1073732420,0,15337,-10,30708,3060,6156,-1282,-928,-622,-379,0,23327,37846,2988,2000,4960,1518,14416.804865,-10.800000,-18.000000,1699.985000,545.238539,
6,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,10,1073732420,0,15413,-35,30852,3085,6174,-1331,-985,-706,-468,0,23327,37846,2988,2000,4354,1527,16947.931195,-0.200000,-2.000000,1698.709000,490.772555,
7,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,11,1073732420,0,15273,-13,30602,3060,6131,-996,-727,-519,-341,0,23327,37846,2988,2000,4488,1512,16477.987421,-0.200000,-5.500000,1666.269500,466.723091,
8,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,0,1073732420,0,15313,2,30647,3070,6143,-18,-17,-17,-6,0,57306,60049,2988,2000,2418,1522,23518.518519,5.300000,-1.500000,1579.781500,144.338230,
9,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,1,1073732420,0,15183,-44,30435,3039,6084,17,16,10,7,0,57306,60049,2988,2000,1805,1510,19814.814815,-4.500000,-3.000000,1535.354000,45.323511,
10,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,2,1073732420,0,15409,-24,30854,3076,6177,-32,-20,-17,-11,0,57306,60049,2988,2000,1989,1532,16868.686869,-9.400000,-12.500000,1572.449000,80.955571,
11,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,3,1073732420,0,15344,-51,30835,3110,6154,12,9,12,38,0,57306,60049,2988,2000,1596,1490,-17942.386831,26.500000,33.000000,1538.483000,14.131267,
12,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,8,1073732420,0,15309,0,30676,3074,6149,-71,-19,6,5,0,57306,60049,2988,2000,2722,1521,1870.882740,6.400000,-0.500000,1584.171500,177.170585,
13,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,9,1073732420,0,15343,-4,30725,3074,6152,-37,-29,-25,-17,0,57306,60049,2988,2000,2203,1526,24791.666667,1.500000,-2.000000,1566.615000,91.374640,
14,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,10,1073732420,0,15398,-40,30843,3082,6178,-20,5,1,6,0,57306,60049,2988,2000,2007,1532,-1531.531532,-2.300000,-7.000000,1568.703500,74.741291,
15,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,11,1073732420,0,15480,-43,30881,3118,6131,-56,-89,-120,-161,0,57306,60049,2988,2000,2671,1518,-23853.564547,29.900000,52.500000,1596.541000,193.214778,
16,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,0,1073732420,0,15326,-21,30665,3062,6139,-9,-10,-7,-1,0,32255,7963,2989,2000,1626,1522,13333.333333,-4.500000,-7.500000,1537.446000,13.384210,
17,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,1,1073732420,0,15194,-14,30421,3045,6087,6,8,8,11,0,32255,7963,2989,2000,1575,1509,-40000.000000,2.900000,1.500000,1524.696000,9.631437,
18,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,2,1073732420,0,15416,-40,30864,3079,6179,5,13,18,14,0,32255,7963,2989,2000,1768,1532,-29375.000000,-7.400000,-10.500000,1554.710500,31.332773,
19,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,3,1073732420,0,15306,-55,30809,3066,6149,-64,-58,-37,-18,0,32255,7963,2989,2000,1585,1493,15220.125786,-14.900000,-8.500000,1537.334000,13.388034,
20,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,8,1073732420,0,15310,-23,30682,3066,6152,-65,-34,-4,9,0,32255,7963,2989,2000,1900,1522,2883.597884,-2.200000,-10.000000,1551.057500,56.263729,
21,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,9,1073732420,0,15332,-8,30725,3075,6150,-12,1,-3,5,0,32255,7963,2989,2000,1902,1522,-141.843972,2.500000,0.000000,1553.585000,51.169569,
22,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,10,1073732420,0,15404,-11,30842,3077,6177,-5,-11,-10,-17,0,32255,7963,2989,2000,1981,1530,-23809.523810,-7.200000,-11.500000,1565.026000,66.985411,
23,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,11,1073732420,0,15372,-12,30897,3097,6126,-44,-40,-30,-30,0,32255,7963,2989,2000,2305,1515,42820.512821,7.300000,34.000000,1572.372000,116.182717,
24,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073732420,0,15333,-9,30670,3059,6139,-110,-47,-8,-6,0,17782,10119,2989,2000,3498,1521,4786.324786,-8.000000,-10.500000,1630.483500,312.158253,
25,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073732420,0,15184,-22,30403,3035,6087,-65,-42,-31,-23,0,17782,10119,2989,2000,3593,1506,16253.041363,-5.300000,-8.500000,1601.674000,305.719611,
26,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,2,1073732420,0,15547,-1,31198,3124,6179,-26,-10,-8,2,0,17782,10119,2989,2000,3716,1528,4806.201550,4.200000,34.500000,1650.193500,363.725579,
27,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,3,1073732420,0,15336,10,30857,3078,6149,62,48,37,14,0,17782,10119,2989,2000,1593,1470,13978.494624,-7.700000,3.500000,1538.753000,14.457420,
28,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,8,1073732420,0,15335,12,30719,3064,6152,-357,-270,-199,-213,0,17782,10119,2989,2000,5113,1513,31093.439364,-7.900000,-12.000000,1683.330500,551.253703,
29,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,9,1073732420,0,15331,-1,30744,3077,6150,-483,-257,-100,-23,0,17782,10119,2989,2000,6238,1515,6024.723487,2.600000,2.000000,1777.167500,784.213546,
30,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,10,1073732420,0,15411,-11,30864,3083,6177,-452,-234,-75,4,0,17782,10119,2989,2000,5899,1521,4929.054792,-3.400000,-5.500000,1782.378000,751.653424,
31,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,11,1073732420,0,15271,2,30608,3052,6126,-322,-188,-83,-18,0,17782,10119,2989,2000,5877,1508,6679.777122,-8.800000,-11.000000,1760.239500,732.589185,
32,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,0,1073732420,0,15326,0,30691,3071,6138,-214,-110,-43,-14,0,18441,17103,2989,2000,7375,1513,6186.906547,1.900000,2.000000,1826.102000,936.515059,
33,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073732420,0,15195,11,30407,3040,6087,-119,-54,-19,3,0,18441,17103,2989,2000,5626,1505,4522.028263,-0.700000,-3.500000,1691.022500,598.724842,
34,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,2,1073732420,0,15408,-10,30867,3089,6179,-113,-53,-21,-6,0,18441,17103,2989,2000,5344,1525,5779.036827,2.300000,-0.500000,1728.928500,603.605810,
35,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,3,1073732420,0,15250,-49,30797,3089,6149,34,2,-42,-47,0,18441,17103,2989,2000,1596,1461,-6411.149826,9.300000,14.500000,1537.153500,15.125076,
36,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,8,1073732420,0,15414,-40,30924,3106,6152,-135,-11,7,-16,0,18441,17103,2989,2000,6850,1516,3555.555556,13.600000,30.000000,1773.527500,812.656691,
37,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,9,1073732420,0,15390,-8,30886,3080,6150,-190,-83,-30,-20,0,18441,17103,2989,2000,5542,1518,6228.537596,-8.600000,5.000000,1752.449500,667.738269,
38,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,10,1073732420,0,15408,10,30869,3082,6177,-252,-132,-59,-6,0,18441,17103,2989,2000,5306,1526,5893.958076,-4.900000,-6.500000,1756.518500,648.786707,
39,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,11,1073732420,0,15279,-41,30597,3051,6126,-447,-222,-78,6,0,18441,17103,2989,2000,7281,1505,4883.566201,-8.700000,-12.000000,1840.333000,1003.774107,
40,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073732420,0,15317,-33,30675,3069,6142,8,7,11,16,0,8663,23890,2989,2000,2089,1524,-28333.333333,1.500000,-2.000000,1569.809000,91.699687,
41,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,1,1073732420,0,15169,2,30366,3031,6089,-17,-16,-18,-17,0,8663,23890,2989,2000,2053,1508,-570000.000000,-5.600000,-13.500000,1541.901500,72.670206,
42,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,2,1073732420,0,15551,1,31500,3132,6178,-42,-34,-26,-18,0,8663,23890,2989,2000,1970,1533,21666.666667,-18.000000,43.000000,1576.089000,74.476668,
43,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,3,1073732420,0,15347,-26,30902,3087,6149,-10,13,27,35,0,8663,23890,2989,2000,1583,1479,-10604.026846,-3.200000,12.500000,1537.238000,14.079679,
44,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,8,1073732420,0,15318,-29,30678,3064,6148,13,14,18,22,0,8663,23890,2989,2000,1781,1522,-39354.838710,-3.800000,-10.000000,1547.401500,34.907797,
45,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,9,1073732420,0,15338,-10,30716,3072,6153,-87,-48,-20,-15,0,8663,23890,2989,2000,1681,1524,8278.688525,0.400000,-4.500000,1548.300000,24.378023,
46,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,10,1073732420,0,15417,-39,30863,3083,6171,-29,-16,2,2,0,8663,23890,2989,2000,1818,1530,2822.822823,-3.300000,-2.500000,1562.621500,42.291550,
47,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,11,1073732420,0,15289,-18,30668,3064,6131,-15,-14,-9,-4,0,8663,23890,2989,2000,1654,1517,15087.719298,-2.800000,-1.500000,1541.450000,19.195585,
48,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073732420,0,15543,-11,31383,3140,6142,-48,-38,-33,-26,0,47769,31396,2989,2000,4951,1516,30704.225352,1.700000,69.000000,1710.417500,579.119749,
49,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073732420,0,15246,3,30555,3057,6089,-12,5,2,7,0,47769,31396,2989,2000,5809,1501,-3950.617284,1.500000,12.500000,1702.613000,641.221995,
50,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,2,1073732420,0,15520,10,31194,3110,6178,-213,-121,-46,8,0,47769,31396,2989,2000,5297,1527,5067.750678,-9.400000,21.000000,1723.287500,590.244475,
51,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,3,1073732420,0,15201,-53,30883,3109,6149,83,100,94,75,0,47769,31396,2989,2000,1647,1467,192222.222222,20.700000,34.500000,1537.799500,16.963322,
52,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,8,1073732420,0,15574,10,31687,3144,6148,-51,-51,-44,-37,0,47769,31396,2989,2000,3371,1518,58911.564626,-24.700000,70.000000,1632.071000,313.756554,
53,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,9,1073732420,0,15545,-25,31281,3138,6153,87,100,104,118,0,47769,31396,2989,2000,3850,1521,-73608.247423,9.900000,61.500000,1662.328500,383.077155,
54,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,10,1073732420,0,15619,12,31553,3151,6171,-197,-67,1,5,0,47769,31396,2989,2000,4442,1524,3046.488625,-4.300000,65.500000,1707.528500,501.842087,
55,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,11,1073732420,0,15724,-24,31977,3193,6131,80,178,209,231,0,47769,31396,2989,2000,4222,1514,-27369.146006,-4.700000,127.500000,1681.454000,450.486343,
56,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073732420,0,15333,-23,30682,3068,6142,-14,0,10,9,0,41050,35343,2989,2000,2297,1523,-4388.185654,-0.200000,-3.000000,1567.876500,111.497840,
57,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073732420,0,15182,-29,30417,3038,6089,-49,-23,7,12,0,41050,35343,2989,2000,2472,1509,813.771518,-3.700000,-6.500000,1560.841500,141.018929,
58,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,2,1073732420,0,15428,-41,30864,3081,6183,-23,-6,3,4,0,41050,35343,2989,2000,1995,1529,740.740741,-5.400000,-10.500000,1569.941000,73.091275,
59,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,3,1073732420,0,15315,-55,30730,3075,6152,-32,-25,14,39,0,41050,35343,2989,2000,1590,1491,-3068.783069,2.000000,-1.000000,1537.915500,14.148476,
60,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,8,1073732420,0,15315,-2,30652,3067,6150,-86,-38,-4,3,0,41050,35343,2989,2000,2090,1521,3588.039867,1.800000,-8.000000,1556.832500,81.029590,
61,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,9,1073732420,0,15332,-4,30746,3072,6154,-24,-15,-15,-14,0,41050,35343,2989,2000,1720,1525,34444.444444,-2.600000,-5.000000,1549.463500,29.402715,
62,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,10,1073732420,0,15502,-16,31036,3115,6180,7,17,23,24,0,41050,35343,2989,2000,1837,1530,-24093.567251,11.400000,25.000000,1560.686000,43.105399,
63,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,11,1073732420,0,15279,-18,30619,3054,6126,-30,5,17,11,0,41050,35343,2989,2000,2047,1519,-3703.703704,-7.900000,-9.000000,1566.774500,81.035225,
64,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073732420,0,15321,-19,30697,3074,6142,-1402,-888,-487,-220,0,5720,54687,2989,2000,10568,1507,9321.847817,4.300000,3.000000,2010.167000,1513.003795,
65,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073732420,0,15213,0,30527,3053,6089,-489,-271,-122,-32,0,5720,54687,2989,2000,10274,1494,6688.596491,0.300000,8.500000,1922.568500,1366.389490,
66,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,2,1073732420,0,15412,-16,30849,3086,6182,-866,-531,-292,-141,0,5720,54687,2989,2000,10700,1514,9301.297984,1.100000,-5.000000,2010.909500,1524.854675,
67,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,3,1073732420,0,15267,-38,30863,3054,6152,90,69,82,114,0,5720,54687,2989,2000,1609,1470,-72941.176471,-32.300000,-22.000000,1537.584500,15.822480,
68,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,8,1073732420,0,15301,-10,30641,3066,6150,-5200,-3297,-1776,-711,0,5720,54687,2989,2000,16383,1486,8880.882484,1.900000,-9.000000,2452.920000,2922.814037,
69,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,9,1073732420,0,15471,-2,31075,3102,6153,-15927,-9997,-5437,-2426,0,5720,54687,2989,2000,16383,1430,9162.875678,-5.500000,25.500000,3122.224500,4050.672917,
70,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,10,1073732420,0,15436,12,30933,3091,6180,-14857,-9406,-4953,-1835,0,5720,54687,2989,2000,16383,1430,8558.407439,-2.300000,1.000000,3138.090000,4097.769954,
71,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,11,1073732420,0,15292,-1,30608,3060,6126,-5682,-3495,-1806,-670,0,5720,54687,2989,2000,16383,1469,8279.023418,-0.800000,-3.000000,2640.841500,3277.665924,
72,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073732420,0,15322,8,30670,3066,6143,-21,-10,-10,-13,0,54664,61826,2989,2000,3116,1522,34166.666667,-1.000000,-5.500000,1607.599500,235.718720,
73,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073732420,0,15188,-34,30405,3033,6086,-11,-2,1,4,0,54664,61826,2989,2000,2010,1510,-555.555556,-7.500000,-10.000000,1543.180000,76.137551,
74,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,2,1073732420,0,15405,8,30864,3084,6181,-46,-19,2,10,0,54664,61826,2989,2000,2178,1529,1340.388007,-2.400000,-6.500000,1577.958000,108.805892,
75,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,3,1073732420,0,15290,-41,30809,3102,6156,46,35,32,44,0,54664,61826,2989,2000,1594,1486,287407.407407,21.100000,24.000000,1539.438000,14.103090,
76,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,8,1073732420,0,15301,-9,30694,3064,6145,-106,-49,-17,-6,0,54664,61826,2989,2000,3075,1523,5602.409639,-5.400000,-8.500000,1594.508000,215.341206,
77,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,9,1073732420,0,15355,-28,30733,3071,6156,-63,-36,-9,5,0,54664,61826,2989,2000,2573,1524,4098.124098,-2.300000,-7.000000,1592.576500,159.007771,
78,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,10,1073732420,0,15515,-40,31061,3106,6171,73,74,64,49,0,54664,61826,2989,2000,2278,1532,49512.195122,-0.100000,20.500000,1589.273000,124.483844,
79,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,11,1073732420,0,15282,-36,30593,3058,6128,-69,-15,14,13,0,54664,61826,2989,2000,2960,1514,121.212121,-1.300000,-6.000000,1612.482000,243.402097,
80,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073732420,0,15323,-17,30687,3068,6143,-42,-38,-26,-17,0,56612,1892,2990,2000,2712,1522,20229.885057,-0.700000,-3.500000,1592.515500,193.354648,
81,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073732420,0,15202,-26,30476,3046,6086,-146,-61,8,28,0,56612,1892,2990,2000,2677,1509,1489.001692,-1.600000,3.000000,1567.102000,172.000976,
82,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,2,1073732420,0,15409,-13,30845,3085,6180,-84,-46,-19,3,0,56612,1892,2990,2000,2655,1530,5115.740741,0.500000,-5.000000,1592.224500,167.426581,
83,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,3,1073732420,0,15263,-41,30920,3085,6156,107,81,81,57,0,56612,1892,2990,2000,1590,1486,32888.888889,-7.000000,7.000000,1539.747500,13.334719,
84,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,8,1073732420,0,15311,9,30648,3058,6145,-82,-50,-25,-5,0,56612,1892,2990,2000,3834,1520,7213.541667,-6.800000,-14.500000,1628.080500,341.980448,
85,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,9,1073732420,0,15335,-36,30703,3077,6156,-44,-21,2,-2,0,56612,1892,2990,2000,2749,1520,3937.360179,6.700000,-1.000000,1605.716000,197.209772,
86,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,10,1073732420,0,15410,-24,30855,3082,6171,-109,-62,-18,13,0,56612,1892,2990,2000,2753,1526,3821.138211,-3.500000,-3.500000,1604.248500,199.242824,
87,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,11,1073732420,0,15271,4,30583,3057,6128,-515,-380,-272,-210,0,56612,1892,2990,2000,4643,1514,19100.684262,-1.300000,-7.000000,1672.705000,472.892798,
88,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073732420,0,15307,5,30686,3058,6143,-4,-6,-6,-8,0,62191,8838,2990,2000,1685,1523,-36666.666667,-10.600000,-13.500000,1540.080000,18.622717,
89,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073732420,0,15191,-6,30424,3032,6088,-5,-8,-10,-8,0,62191,8838,2990,2000,1548,1509,-50303.030303,-10.400000,-12.000000,1520.663500,4.670253,
90,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,2,1073732420,0,15411,-12,30839,3086,6187,-3,-6,-7,-4,0,62191,8838,2990,2000,1604,1531,-86666.666667,2.100000,-7.500000,1546.077500,9.719130,
91,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,3,1073732420,0,15391,-58,30785,3057,6154,21,23,17,22,0,62191,8838,2990,2000,1586,1487,457777.777778,-21.500000,-20.000000,1538.429500,14.312548,
92,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,8,1073732420,0,15335,-26,30815,3075,6146,-19,16,19,21,0,62191,8838,2990,2000,2274,1523,-8346.883469,-6.500000,2.000000,1573.582000,113.848216,
93,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,9,1073732420,0,15328,-5,30698,3065,6151,-120,-72,-42,-16,0,62191,8838,2990,2000,1869,1522,8849.902534,-4.800000,-10.500000,1559.102500,59.994258,
94,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,10,1073732420,0,15422,-40,30888,3093,6178,7,4,3,4,0,62191,8838,2990,2000,2119,1529,26666.666667,4.200000,4.000000,1572.876000,94.378412,
95,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,11,1073732420,0,15287,-28,30632,3063,6121,-38,-11,3,-3,0,62191,8838,2990,2000,2211,1519,3529.411765,-0.200000,2.500000,1567.640000,106.872655,
96,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073732420,0,15335,4,30674,3060,6143,-973,-801,-661,-548,0,35889,12300,2990,2000,3047,1522,31802.120141,-7.400000,-11.500000,1615.529500,255.280156,
97,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073732420,0,15252,9,30661,3059,6088,-728,-565,-428,-300,0,35889,12300,2990,2000,3408,1507,20370.631011,-7.100000,15.000000,1600.735500,285.379534,
98,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,2,1073732420,0,15431,-11,30929,3087,6187,-213,-138,-86,-51,0,35889,12300,2990,2000,2575,1530,11784.386617,-5.900000,-6.500000,1589.961000,149.140895,
99,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,3,1073732420,0,15325,-53,30887,3062,6154,-34,-8,-2,54,0,35889,12300,2990,2000,1614,1491,-3950.617284,-26.700000,-15.000000,1539.227000,14.017363,
100,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,8,1073732420,0,15302,11,30635,3068,6146,-1694,-1387,-1112,-866,0,35889,12300,2990,2000,3891,1519,27227.256252,4.500000,-5.000000,1642.828500,368.792301,
101,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,9,1073732420,0,15392,6,30866,3089,6151,-4799,-3903,-3095,-2352,0,35889,12300,2990,2000,7128,1515,25604.777682,2.400000,13.500000,1835.953500,942.053740,
102,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,10,1073732420,0,15424,11,30891,3085,6178,-4540,-3657,-2888,-2236,0,35889,12300,2990,2000,7146,1520,25571.323178,-4.100000,-4.000000,1854.883500,966.766085,
103,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,11,1073732420,0,15281,-15,30639,3062,6121,-2463,-2011,-1588,-1209,0,35889,12300,2990,2000,4645,1512,25623.257666,-1.900000,1.500000,1677.358500,495.287269,
104,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073732420,0,15325,-7,30693,3068,6144,-30,-20,-9,-2,0,59532,13162,2990,2000,2583,1522,7368.421053,-1.300000,-4.000000,1584.369500,165.228342,
105,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073732420,0,15179,-42,30401,3032,6089,15,11,10,3,0,59532,13162,2990,2000,2056,1510,14234.234234,-8.100000,-12.500000,1543.829500,73.268066,
106,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,2,1073732420,0,15416,4,30915,3088,6179,-23,-16,-20,-31,0,59532,13162,2990,2000,2028,1531,-56904.761905,-3.500000,-1.500000,1568.904000,82.698904,
107,0XAAAAAAAA,1012,0,0,0,0,0,0,0,0,0,3,1073732420,0,15293,-39,30838,3098,6146,171,149,144,55,0,59532,13162,2990,2000,1596,1474,21170.915958,14.200000,25.000000,1537.026000,14.316645,
108,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,8,1073732420,0,15301,-38,30649,3070,6144,-22,1,18,19,0,59532,13162,2990,2000,2083,1523,-5238.095238,5.100000,-2.000000,1558.167500,84.822753,
