Event,Header,PacketLength,TriggerType,StatusFlags,FlagPileup,FlagPolarity,FlagOffset,FlagCfdValid,HeaderType,TriggerID,ModuleID,ChannelID,SyncDelay,SynceCount,PeakSum,PeakTime,Prerise,IntegratedSum,Baseline,CFDPoint0,CFDPoint1,CFDPoint2,CFDPoint3,IntTimestamp0,IntTimestamp1,IntTimestamp2,IntTimestamp3,WaveformWords,Info.max,Info.min,Info.fracTimestamp,Info.intEnergy,Info.intEnergyB,Info.mean,Info.stdDev,
0,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073734200,0,-4797,-28,466180,461564,6143,19,11,7,16,0,54010,56768,698,2000,1612,1524,64615.384615,-4616.000000,839.000000,1539.369500,12.089953,
1,0XAAAAAAAA,1012,0,10,0,1,0,1,0,0,0,1,1073734200,0,-4428,6,461019,456662,6085,33,0,-21,-48,0,55391,56768,698,2000,1562,1508,-5606.060606,-4357.000000,287.000000,1522.232500,5.548914,
2,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,2,1073734200,0,-5739,-28,469963,464535,6181,12,17,8,9,0,54010,56768,698,2000,1655,1533,39259.259259,-5428.000000,960.000000,1547.817500,14.402368,
3,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,3,1073734200,0,-9488,-28,471578,463007,6151,19,18,30,34,0,54010,56768,698,2000,1727,1526,-32865.497076,-8571.000000,1682.000000,1543.695000,23.892174,
4,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,8,1073734200,0,-53640,-28,529672,479296,6137,62,85,113,155,0,54010,56768,698,2000,2536,1522,-25863.192182,-50376.000000,19021.000000,1578.941000,144.801604,
5,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,9,1073734200,0,-73110,-28,558901,490302,6145,68,109,164,200,0,54010,56768,698,2000,2849,1523,-23325.942350,-68599.000000,29427.000000,1603.917500,201.553523,
6,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,10,1073734200,0,-71156,-28,573978,511046,6168,83,149,217,299,0,54010,56768,698,2000,2634,1528,-20744.878957,-62932.000000,48446.000000,1623.367500,219.573870,
7,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,11,1073734200,0,-72851,-28,549315,478779,6128,162,204,257,311,0,54010,56768,698,2000,2717,1516,-34466.666667,-70536.000000,19179.000000,1588.930000,181.254073,
8,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073734200,0,-16539,-28,474313,458123,6085,5,18,27,35,0,18736,2771,700,2000,1894,1511,-17643.097643,-16190.000000,1748.000000,1532.111500,43.273388,
9,0XAAAAAAAA,1012,0,10,0,1,0,1,0,0,0,2,1073734200,0,-9521,-28,482225,474246,6181,44,16,-19,-67,0,18739,2771,700,2000,1875,1533,-4510.869565,-7979.000000,10671.000000,1558.713500,43.871567,
10,0XAAAAAAAA,1012,0,10,0,1,0,1,0,0,0,3,1073734200,0,-9773,-28,473500,464540,6151,25,3,-14,-34,0,18751,2771,700,2000,1715,1523,-5051.546392,-8960.000000,3215.000000,1544.854500,26.633087,
11,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,8,1073734200,0,-231416,-28,743467,524458,6137,125,294,482,659,0,18736,2771,700,2000,5403,1518,-17858.472998,-219009.000000,64183.000000,1709.388000,570.846175,
12,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,9,1073734200,0,-352948,-28,943326,618797,6145,661,783,938,1120,0,18736,2771,700,2000,7671,1514,-41431.679721,-324529.000000,157922.000000,1858.515000,971.696660,
13,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,10,1073734200,0,-401285,-28,1006701,636254,6169,770,939,1097,1256,0,18736,2771,700,2000,7794,1518,-45226.897690,-370447.000000,173579.000000,1900.539000,1075.955173,
14,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,11,1073734200,0,-193869,-28,736966,558206,6128,208,263,312,395,0,18736,2771,700,2000,5098,1514,-35519.125683,-178760.000000,98606.000000,1718.062000,566.749024,
15,0XAAAAAAAA,1012,0,10,0,1,0,1,0,0,0,0,1073734200,0,-8779,-28,470652,462375,6143,49,22,-2,-25,0,18749,2771,700,2000,1716,1524,-352.303523,-8277.000000,1650.000000,1545.194500,25.253587,
16,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073734200,0,-8739,-28,472801,465052,6135,-16,13,29,46,0,60413,61453,700,2000,1715,1523,-9273.927393,-7749.000000,4927.000000,1542.251000,26.735258,
17,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073734200,0,-9589,-28,467207,457933,6089,22,26,30,27,0,60413,61453,700,2000,1661,1510,-95438.596491,-9274.000000,1258.000000,1527.236000,22.166942,
18,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,2,1073734200,0,-21565,-28,494246,474682,6192,42,68,110,118,0,60413,61453,700,2000,1906,1531,-24197.530864,-19564.000000,10282.000000,1568.478000,62.303439,
19,0XAAAAAAAA,1012,0,10,0,1,0,1,0,0,0,3,1073734200,0,-5870,97,467764,462189,6142,38,6,-33,-72,0,60603,61453,700,2000,1660,1526,-6088.527552,-5575.000000,1539.000000,1540.725000,15.594626,
20,0XAAAAAAAA,1012,0,10,0,1,0,1,0,0,0,8,1073734200,0,-123269,-28,606983,489641,6149,59,3,-41,-108,0,60433,61453,700,2000,3570,1521,-5993.883792,-117342.000000,28466.000000,1621.124500,290.796140,
21,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,9,1073734200,0,-170115,-28,705313,550282,6154,472,486,505,526,0,60413,61453,700,2000,4692,1523,-186482.504604,-155031.000000,88732.000000,1711.262000,486.922641,
22,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,10,1073734200,0,-160998,-28,722496,582838,6174,397,402,419,493,0,60413,61453,700,2000,4303,1525,-96830.601093,-139658.000000,119788.000000,1732.716000,518.333651,
23,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,11,1073734200,0,-122461,-28,630686,516947,6134,219,276,348,417,0,60413,61453,700,2000,3534,1515,-34864.864865,-113739.000000,56897.000000,1645.604500,342.076258,
24,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,0,1073734200,0,-5606,-28,466367,460996,6135,30,25,22,19,0,15862,7176,702,2000,1662,1523,41111.111111,-5371.000000,871.000000,1538.623500,14.944221,
25,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,1,1073734200,0,-1994,-28,458413,456531,6089,13,10,7,9,0,15862,7176,702,2000,1574,1508,40000.000000,-1882.000000,-144.000000,1523.715000,8.289860,
26,0XAAAAAAAA,1012,0,10,0,1,0,1,0,0,0,2,1073734200,0,-492,-28,467399,468959,6192,30,2,-22,-50,0,15879,7176,702,2000,1617,1528,-5858.585859,1560.000000,4559.000000,1552.714500,13.577334,
27,0XAAAAAAAA,1012,0,2,0,1,0,0,0,0,0,3,1073734200,0,-5771,-28,467735,462224,6142,12,5,3,1,0,15862,7176,702,2000,1674,1523,6666.666667,-5511.000000,1574.000000,1542.079000,17.689849,
